UID         PID   PPID  C STIME TTY          TIME CMD
root      18053      2  0 17:00 ?        00:00:00 [hci0]
root      18054      2  0 17:00 ?        00:00:00 [hci0]
root      18056      2  0 17:00 ?        00:00:00 [kworker/u257:2]
shim84    18075   4028  0 17:01 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service --lockscreen-mode
root      18130      2  0 17:01 ?        00:00:07 [kworker/0:4]
root      18864    806  0 17:02 tty8     00:00:06 /usr/lib/xorg/Xorg -core :1 -seat seat0 -auth /var/run/lightdm/root/:1 -nolisten tcp vt8 -novtswitch
root      18871    806  0 17:02 ?        00:00:00 lightdm --session-child 19 22
lightdm   18874      1  0 17:02 ?        00:00:00 /lib/systemd/systemd --user
lightdm   18876  18874  0 17:02 ?        00:00:00 (sd-pam)
lightdm   18884  18871  0 17:02 ?        00:00:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/unity-greeter
lightdm   18889      1  0 17:02 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
lightdm   18890  18884  0 17:02 ?        00:00:03 /usr/sbin/unity-greeter
lightdm   18892      1  0 17:02 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
lightdm   18896      1  0 17:02 ?        00:00:00 /usr/lib/gvfs/gvfsd
lightdm   18902      1  0 17:02 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/108/gvfs -f -o big_writes
lightdm   18907  18892  0 17:02 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
lightdm   18918      1  0 17:02 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
lightdm   18928      1  0 17:02 ?        00:00:00 /usr/lib/dconf/dconf-service
root      18931    806  0 17:02 ?        00:00:00 lightdm --session-child 13 22
lightdm   18934      1  0 17:02 ?        00:00:00 upstart --user --startup-event indicator-services-start
lightdm   18936      1  0 17:02 ?        00:00:00 nm-applet
lightdm   18938  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
lightdm   18939  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
lightdm   18940  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
lightdm   18941  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
lightdm   18942  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
lightdm   18943  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
lightdm   18944  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
lightdm   18949  18934  0 17:02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
lightdm   18953      1  0 17:02 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
lightdm   18995  18934  0 17:02 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
root      19140  16991  0 17:04 ?        00:00:00 sshd: shim84 [priv]
shim84    19169  19140  0 17:04 ?        00:00:08 sshd: shim84@pts/26
shim84    19170  19169  0 17:04 pts/26   00:00:00 -bash
root      19407  16991  0 17:31 ?        00:00:00 sshd: shim84 [priv]
shim84    19460  19407  0 17:31 ?        00:00:00 sshd: shim84@pts/27
shim84    19463  19460  0 17:31 pts/27   00:00:00 -bash
root      19582    697  0 17:33 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-8a04ec38-c049-49eb-a9b4-ed70cff3681f-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
lightdm   19590      1  0 17:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
shim84    20097   4028  0 17:36 ?        00:00:06 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
root      21033      2  0 19:39 ?        00:00:00 [kworker/u256:2]
shim84    21117  19463  0 19:50 pts/27   00:00:00 vi phone.txt
root      21126      2  0 19:50 ?        00:00:00 [kworker/0:1]
root      21135      2  0 19:51 ?        00:00:00 [kworker/u256:1]
root      21261      2  0 20:04 ?        00:00:00 [kworker/0:0]
shim84    21273  19170  0 20:06 pts/26   00:00:00 vi awk_test
root      21283      2  0 20:08 ?        00:00:00 [kworker/u256:0]
shim84    21285  21273  0 20:08 pts/26   00:00:00 /bin/bash -c  clear; ./awk_test; echo ; echo -n "Press enter key"; read
shim84    21287  21285  0 20:08 pts/26   00:00:00 /bin/bash ./awk_test
shim84    21288  21287  0 20:08 pts/26   00:00:00 ps -ef
